time,AM,SINE
0.0001195,-1.43835,1.28384
0.00012,-1.49011,1.30209
0.0001205,-1.53959,1.31912
0.000121,-1.58674,1.33493
0.0001215,-1.63153,1.34947
0.000122,-1.67391,1.36273
0.0001225,-1.71384,1.37469
0.000123,-1.75128,1.38532
0.0001235,-1.78621,1.39461
0.000124,-1.81858,1.40253
0.0001245,-1.84838,1.40907
0.000125,-1.87557,1.41421
0.0001255,-1.90012,1.41795
0.000126,-1.92202,1.42026
0.0001265,-1.94124,1.42114
0.000127,-1.95777,1.42058
0.0001275,-1.97159,1.41857
0.000128,-1.98269,1.4151
0.0001285,-1.99106,1.41017
0.000129,-1.99669,1.40377
0.0001295,-1.99958,1.39591
0.00013,-1.99972,1.38658
0.0001305,-1.99712,1.37579
0.000131,-1.99177,1.36353
0.0001315,-1.98368,1.34981
0.000132,-1.97286,1.33464
0.0001325,-1.95932,1.31803
0.000133,-1.94307,1.29999
0.0001335,-1.92412,1.28052
0.000134,-1.9025,1.25964
0.0001345,-1.87822,1.23736
0.000135,-1.8513,1.21371
0.0001355,-1.82177,1.18869
0.000136,-1.78966,1.16232
0.0001365,-1.755,1.13463
0.000137,-1.71781,1.10564
0.0001375,-1.67814,1.07538
0.000138,-1.63601,1.04386
0.0001385,-1.59147,1.01111
0.000139,-1.54455,0.977162
0.0001395,-1.49531,0.942047
0.00014,-1.44378,0.905793
0.0001405,-1.39002,0.868432
0.000141,-1.33406,0.829999
0.0001415,-1.27597,0.790528
0.000142,-1.2158,0.750054
0.0001425,-1.15359,0.708616
0.000143,-1.08942,0.666252
0.0001435,-1.02333,0.623001
0.000144,-0.955387,0.578904
0.0001445,-0.885655,0.534004
0.000145,-0.814198,0.488343
0.0001455,-0.741079,0.441965
0.000146,-0.666366,0.394915
0.0001465,-0.590127,0.347239
0.000147,-0.512433,0.298984
0.0001475,-0.433353,0.250196
0.000148,-0.352962,0.200926
0.0001485,-0.271331,0.151221
0.000149,-0.188537,0.101131
0.0001495,-0.104654,0.0507074
0.00015,-0.01976,-3.96444e-14
0.0001505,0.0660678,-0.0509394
0.000151,0.152751,-0.102059
0.0001515,0.240209,-0.153306
0.000152,0.328363,-0.204629
0.0001525,0.417133,-0.255974
0.000153,0.506435,-0.307287
0.0001535,0.59619,-0.358517
0.000154,0.686315,-0.409608
0.0001545,0.776726,-0.460509
0.000155,0.867342,-0.511164
0.0001555,0.95808,-0.561521
0.000156,1.04886,-0.611525
0.0001565,1.13959,-0.661125
0.000157,1.23019,-0.710267
0.0001575,1.32058,-0.758897
0.000158,1.41068,-0.806964
0.0001585,1.50041,-0.854416
0.000159,1.58967,-0.901201
0.0001595,1.6784,-0.947268
0.00016,1.7665,-0.992567
0.0001605,1.8539,-1.03705
0.000161,1.94052,-1.08066
0.0001615,2.02628,-1.12336
0.000162,2.1111,-1.16509
0.0001625,2.1949,-1.20582
0.000163,2.27761,-1.24548
0.0001635,2.35915,-1.28405
0.000164,2.43944,-1.32147
0.0001645,2.51842,-1.35771
0.000165,2.59601,-1.39271
0.0001655,2.67213,-1.42644
0.000166,2.74672,-1.45887
